CVE,pairs,lifecycle_aware_burden,median_lifecycle_burden,burden_per_pair,class,pattern,severity,dependents,lifecycle_burden_start_event,% of total burden
CVE-2020-1953,8,1997.3114004629629,125.08485532407408,249.66392505787036,Silent,S1,High,46,release,0.37891045190036543
CVE-2020-26259,24,2062.435497685185,27.99632523148148,85.93481240354937,Silent,S1,Medium,179,release,0.39126516088683383
CVE-2020-26939,2,1638.8147916666667,819.4073958333333,819.4073958333333,Silent,S1,Medium,12,release,0.3108999694026103
CVE-2020-26945,16,2461.940011574074,100.59267939814814,153.87125072337963,Silent,S1,Medium,193,release,0.4670552634511044
CVE-2020-28052,26,3683.933425925926,118.56592592592592,141.68974715099714,Silent,S1,Medium,127,release,0.6988799437408201
CVE-2020-28491,5,2452.1437731481483,499.6089351851852,490.4287546296297,Transparent,T1,Medium,34,report,0.465196816576956
CVE-2020-2933,5,1099.8645601851852,131.5683564814815,219.97291203703702,Silent,S2,Low,138,disclosure,0.20865558441831625
CVE-2020-35217,2,581.5552893518518,290.7776446759259,290.7776446759259,Transparent,T1,Medium,44,report,0.11032700130900001
CVE-2020-5397,9,525.081724537037,48.55840277777778,58.342413837448554,Transparent,T1,Low,80,report,0.09961338701758503
CVE-2020-5398,2,63.9338425925926,31.9669212962963,31.9669212962963,Transparent,T1,High,70,report,0.012128905479070945
CVE-2020-5408,3,530.0619560185185,153.0146990740741,176.6873186728395,Transparent,T1,Medium,63,report,0.10055818799392711
CVE-2020-5421,4,1060.548611111111,240.2784837962963,265.13715277777777,Silent,S1,Low,97,release,0.20119694575681554
CVE-2020-5529,2,209.03068287037036,104.51534143518518,104.51534143518518,Silent,S1,Medium,12,release,0.03965526381569499
CVE-2020-7238,5,99.6535763888889,19.22894675925926,19.93071527777778,Transparent,T1,Medium,41,report,0.01890530522894378
CVE-2020-7692,3,816.843761574074,218.31241898148147,272.2812538580247,Transparent,T1,Medium,26,report,0.15496363699635637
CVE-2021-20328,2,703.6491087962963,351.82455439814817,351.82455439814817,Silent,S1,Medium,15,release,0.1334894507343689
CVE-2021-21343,11,749.2031481481481,67.15856481481481,68.1093771043771,Silent,S1,Medium,169,release,0.14213151908319835
CVE-2021-21346,21,1190.855,38.88481481481482,56.70738095238095,Silent,S1,High,179,release,0.22591740381255437
CVE-2021-21347,24,6941.7967592592595,270.2766087962963,289.24153163580246,Transparent,T1,High,179,report,1.3169300222497746
CVE-2021-21349,21,1252.8730439814815,38.88481481481482,59.66062114197531,Silent,S1,Medium,179,release,0.23768286265164823
CVE-2021-21351,22,2620.013761574074,104.29200810185185,119.09153461700338,Transparent,T1,Medium,179,report,0.497043474619479
CVE-2021-22112,5,177.92320601851853,17.43021990740741,35.584641203703704,Transparent,T1,Critical,22,report,0.033753856499498226
CVE-2021-22118,11,751.7114467592593,8.04857638888889,68.33740425084176,Transparent,T1,Medium,78,report,0.14260736904831492
CVE-2021-22569,11,128.6283912037037,0.7293518518518518,11.693490109427609,Transparent,T1,Medium,128,report,0.024402124689677875
CVE-2021-28164,8,471.20537037037036,33.85358217592593,58.900671296296295,Silent,S1,Medium,26,release,0.08939249021636321
CVE-2021-28168,1,81.02739583333333,81.02739583333333,81.02739583333333,Transparent,T1,Low,16,report,0.015371727795876788
CVE-2021-28657,5,455.69747685185183,15.869097222222223,91.13949537037037,Silent,S1,Medium,19,release,0.08645048380726618
CVE-2021-29262,5,238.4000925925926,56.17951388888889,47.68001851851852,Silent,S1,Medium,14,release,0.04522694197630366
CVE-2021-29943,5,378.14060185185184,84.12358796296296,75.62812037037037,Transparent,T2,Medium,14,report,0.07173714939811074
CVE-2021-30179,2,717.3725810185185,358.68629050925927,358.68629050925927,Transparent,T1,High,23,report,0.13609293412717335
CVE-2021-31684,3,26.309988425925926,10.140856481481482,8.769996141975309,Transparent,T1,Medium,68,report,0.004991274571231208
CVE-2021-36090,56,3515.9133333333334,29.319953703703703,62.78416666666667,Silent,S1,Medium,303,release,0.6670048093988024
CVE-2021-3642,2,447.8319328703704,223.9159664351852,223.9159664351852,Transparent,T1,Low,12,report,0.08495830946541116
CVE-2021-37714,39,2535.5577199074073,16.364479166666666,65.01430051044635,Transparent,T1,Medium,244,report,0.48102129755374196
CVE-2021-38153,18,3334.3762500000003,185.04137731481484,185.24312500000002,Transparent,T1,Medium,144,report,0.6325653633181544
CVE-2021-39139,20,787.6926851851852,6.483310185185185,39.38463425925926,Silent,S1,Medium,179,release,0.14943337890774
CVE-2021-39140,20,809.4837152777778,9.083408564814814,40.47418576388889,Silent,S1,Medium,179,release,0.15356736074845093
CVE-2021-39141,20,767.4283101851852,6.483310185185185,38.37141550925926,Silent,S1,Medium,179,release,0.14558901919149914
CVE-2021-39147,20,767.4283101851852,6.483310185185185,38.37141550925926,Silent,S1,Medium,179,release,0.14558901919149914
CVE-2021-39148,20,787.6926851851852,6.483310185185185,39.38463425925926,Silent,S1,Medium,179,release,0.14943337890774
CVE-2021-39149,20,767.4283101851852,6.483310185185185,38.37141550925926,Silent,S1,Medium,179,release,0.14558901919149914
CVE-2021-39151,20,809.4837152777778,9.083408564814814,40.47418576388889,Silent,S1,Medium,179,release,0.15356736074845093
CVE-2021-39152,20,787.6926851851852,6.483310185185185,39.38463425925926,Silent,S1,Medium,179,release,0.14943337890774
CVE-2021-39153,20,809.4836111111111,9.083408564814814,40.474180555555556,Silent,S1,Medium,179,release,0.15356734098696617
CVE-2021-41269,2,55.073553240740736,27.536776620370368,27.536776620370368,Transparent,T1,Medium,25,report,0.010448017740934571
CVE-2021-43859,6,87.63589120370371,2.595775462962963,14.605981867283951,Silent,S1,Medium,169,release,0.01662542712718191
CVE-2022-0839,7,314.02208333333334,33.900358796296295,44.86029761904762,Transparent,T1,High,37,report,0.05957320900233553
CVE-2022-21724,8,346.9904398148148,39.508796296296296,43.37380497685185,Silent,S1,High,200,release,0.06582764426461607
CVE-2022-23221,12,290.3812384259259,15.30009837962963,24.198436535493826,Transparent,T1,Critical,34,report,0.0550882983243632
