CVE,pairs,exposed_past_disclosure,burden_disclosure,exposed_past_release,burden_release,median_delay_disclosure,burden_per_pair,class,pattern,severity,dependents,% of total burden
CVE-2019-10184,1,1,88.50467592592592,1,83.35876157407408,88.50467592592592,88.50467592592592,Transparent,T5,Medium,19,0.02
CVE-2019-11272,5,5,632.249386574074,5,663.3778587962963,34.526041666666664,126.44987731481481,Transparent,T1,High,63,0.18
CVE-2019-11777,4,3,840.7409259259259,4,1501.5149768518518,56.89624421296297,210.18523148148148,Transparent,T1,Medium,46,0.23
CVE-2019-12086,4,4,1084.0336805555555,4,1088.6761342592592,217.32786458333334,271.0084201388889,Transparent,T1,Medium,102,0.3
CVE-2019-12402,71,69,9353.177743055556,71,9722.527488425925,72.79030092592592,131.73489778951486,Silent,S1,Medium,303,2.59
CVE-2019-17359,4,4,1067.253125,4,1071.7372916666666,140.74632523148148,266.81328125,Silent,S1,Medium,43,0.3
CVE-2019-17632,3,1,90.93662037037036,3,98.36980324074074,-2.781851851851852,30.312206790123454,Transparent,T1,Medium,12,0.03
CVE-2019-17638,9,6,286.27379629629627,8,460.60068287037035,27.739016203703702,31.808199588477365,Transparent,T1,High,23,0.08
CVE-2019-20444,6,1,14.251030092592591,0,0.0,-30.198130787037037,2.3751716820987654,Transparent,T2,Medium,41,0.0
CVE-2019-20445,6,1,14.251030092592591,6,115.91574074074074,-30.198130787037037,2.3751716820987654,Transparent,T1,Medium,41,0.0
CVE-2019-3778,1,0,0.0,1,0.3485532407407407,-15.035474537037038,0.0,Transparent,T1,Medium,29,0.0
CVE-2019-3795,5,5,981.2855092592594,5,1012.331400462963,112.52604166666669,196.25710185185187,Transparent,T1,Medium,63,0.27
CVE-2019-3888,9,7,731.6259953703704,9,1229.6485300925926,1.966423611111111,81.2917772633745,Transparent,T1,Medium,53,0.2
CVE-2019-5427,12,8,3690.7210532407403,12,4046.2531365740742,192.83920717592594,307.56008777006167,Silent,S1,Medium,108,1.02
CVE-2019-7614,16,16,1301.1827893518519,16,1403.7276041666669,16.37330439814815,81.32392433449074,Transparent,T1,Medium,31,0.36
CVE-2020-10683,1,0,0.0,1,0.1758564814814814,-18.990590277777777,0.0,Silent,S1,High,21,0.0
CVE-2020-10688,1,1,110.8314351851852,1,538.8291666666667,110.8314351851852,110.8314351851852,Transparent,T1,Medium,31,0.03
CVE-2020-10714,4,3,1142.6815046296297,4,1588.5279513888888,232.50813657407406,285.6703761574074,Silent,S1,Medium,12,0.32
CVE-2020-10719,12,10,1625.3217245370372,12,1735.7948611111112,2.576383101851852,135.4434770447531,Silent,S1,Medium,75,0.45
CVE-2020-11050,5,5,329.74607638888887,5,328.60765046296297,47.48096064814815,65.94921527777777,Silent,S2,Medium,41,0.09
