CVE_ID,dependents,upstream_GAV,severity,cvss,CWE,Link Presence,stars_count_at_commit,commits_count_at_commit,rq1_reporting,upstream_GA,rq2_class,pattern,in_analysis
CVE-2018-20000,5,org.bedework:bw-webdav:4.0.2,Medium,5.0,CWE-611,contains links,0.0,335.0,Transparent,org.bedework:bw-webdav,,,False
CVE-2018-20059,1,ro.pippo:pippo-jaxb:1.0.0,High,7.5,CWE-611,contains links,625.0,1337.0,Transparent,ro.pippo:pippo-jaxb,,,False
CVE-2018-20227,5,org.eclipse.rdf4j:rdf4j-util:2.2.2,Medium,6.4,CWE-22,no links,128.0,2142.0,Silent,org.eclipse.rdf4j:rdf4j-util,,,False
CVE-2018-20433,108,com.mchange:c3p0:0.9.5.2,High,7.5,CWE-611,no links,0.0,344.0,Silent,com.mchange:c3p0,,,False
CVE-2018-21234,12,org.jodd:jodd-json:3.6.6,High,7.5,CWE-502,contains links,2348.0,5075.0,Transparent,org.jodd:jodd-json,,,False
CVE-2018-25007,16,com.vaadin:flow-server:1.0.5,Medium,4.0,CWE-754,no links,121.0,18735.0,Silent,com.vaadin:flow-server,,,False
CVE-2018-3831,27,org.elasticsearch:elasticsearch:5.3.0,Medium,4.0,CWE-200,contains links,30889.0,41165.0,Transparent,org.elasticsearch:elasticsearch,,,False
CVE-2018-7489,302,com.fasterxml.jackson.core:jackson-databind:2.8.9,High,7.5,CWE-184;CWE-502,contains links,1248.0,4144.0,Transparent,com.fasterxml.jackson.core:jackson-databind,Transparent,T1,True
CVE-2018-8008,13,org.apache.storm:storm-core:1.2.1,Medium,5.8,CWE-22,no links,4580.0,9251.0,Silent,org.apache.storm:storm-core,,,False
CVE-2018-8009,134,org.apache.hadoop:hadoop-common:2.7.2,Medium,6.5,CWE-22,contains links,6350.0,19124.0,Transparent,org.apache.hadoop:hadoop-common,Transparent,T2,True
CVE-2018-8010,14,org.apache.solr:solr-core:6.3.0,Low,2.1,CWE-611,no links,1450.0,29981.0,Silent,org.apache.solr:solr-core,,,False
CVE-2018-8012,155,org.apache.zookeeper:zookeeper:3.4.6,Medium,5.0,CWE-862,contains links,1583.0,5331.0,Transparent,org.apache.zookeeper:zookeeper,Transparent,T3,True
CVE-2018-8013,20,org.apache.xmlgraphics:batik-dom:1.7,High,7.5,CWE-502,contains links,55.0,3468.0,Transparent,org.apache.xmlgraphics:batik-dom,,,False
CVE-2018-8014,6,org.apache.tomcat:tomcat-catalina:8.5.51,High,7.5,CWE-1188,contains links,0.0,18610.0,Transparent,org.apache.tomcat:tomcat-catalina,,,False
CVE-2018-8015,2,org.apache.orc:orc-core:1.3.3,Medium,5.0,CWE-674,contains links,134.0,370.0,Transparent,org.apache.orc:orc-core,,,False
CVE-2018-8016,4,org.apache.cassandra:cassandra-all:3.11.0,High,7.5,CWE-306,contains links,3785.0,23746.0,Transparent,org.apache.cassandra:cassandra-all,,,False
CVE-2018-8017,14,org.apache.tika:tika-parsers:1.3,Medium,4.3,CWE-835,no links,587.0,4203.0,Silent,org.apache.tika:tika-parsers,,,False
CVE-2018-8018,7,org.apache.ignite:ignite-core:2.3.0,High,7.5,CWE-502,contains links,1645.0,24102.0,Transparent,org.apache.ignite:ignite-core,,,False
CVE-2018-8026,18,org.apache.solr:solr-core:7.2.1,Low,2.1,CWE-611,no links,1561.0,30253.0,Silent,org.apache.solr:solr-core,,,False
CVE-2018-8027,30,org.apache.camel:camel-core:2.20.1,High,7.5,CWE-611,contains links,1625.0,32025.0,Transparent,org.apache.camel:camel-core,Transparent,T1,True
CVE-2018-8030,1,org.apache.qpid:qpid-broker-plugins-amqp-0-8-protocol:7.0.2,Medium,5.0,CWE-20,contains links,6.0,8555.0,Transparent,org.apache.qpid:qpid-broker-plugins-amqp-0-8-protocol,,,False
CVE-2018-8036,1,org.apache.pdfbox:fontbox:1.8.4,Medium,4.3,CWE-835,contains links,617.0,7244.0,Transparent,org.apache.pdfbox:fontbox,,,False
CVE-2018-8039,62,org.apache.cxf:cxf-rt-transports-http:3.0.5,Medium,6.8,CWE-755,no links,383.0,14043.0,Silent,org.apache.cxf:cxf-rt-transports-http,,,False
CVE-2018-8041,4,org.apache.camel:camel-mail:2.21.1,Medium,5.0,CWE-22,contains links,1781.0,32810.0,Transparent,org.apache.camel:camel-mail,,,False
CVE-2018-9116,10,com.github.tomakehurst:wiremock:2.6.0,Medium,6.4,CWE-611,no links,2058.0,1459.0,Silent,com.github.tomakehurst:wiremock,,,False
CVE-2018-9117,10,com.github.tomakehurst:wiremock:2.6.0,Medium,5.0,CWE-22,no links,2058.0,1459.0,Silent,com.github.tomakehurst:wiremock,,,False
CVE-2018-9159,27,com.sparkjava:spark-core:2.5.5,Medium,5.0,CWE-22,contains links,6548.0,932.0,Transparent,com.sparkjava:spark-core,Transparent,T1,True
CVE-2019-0187,5,org.apache.jmeter:ApacheJMeter_core:4.0,High,7.5,CWE-327;CWE-502,contains links,2043.0,15715.0,Transparent,org.apache.jmeter:ApacheJMeter_core,,,False
CVE-2019-0194,9,org.apache.camel:camel-core:2.23.0,Medium,5.0,CWE-22,contains links,2141.0,34486.0,Transparent,org.apache.camel:camel-core,,,False
CVE-2019-0199,2,org.apache.tomcat:tomcat-coyote:8.5.20,Medium,5.0,CWE-400,no links,2908.0,20831.0,Silent,org.apache.tomcat:tomcat-coyote,,,False
CVE-2019-0201,155,org.apache.zookeeper:zookeeper:3.4.6,Medium,4.3,CWE-862,no links,0.0,1805.0,Silent,org.apache.zookeeper:zookeeper,,,False
CVE-2019-0207,21,org.apache.tapestry:tapestry-ioc:5.3.1,Medium,5.0,CWE-22,no links,71.0,5461.0,Silent,org.apache.tapestry:tapestry-ioc,Silent,S1,True
CVE-2019-0212,1,org.apache.hbase:hbase-rest:2.1.3,Medium,6.0,,contains links,2343.0,16159.0,Transparent,org.apache.hbase:hbase-rest,,,False
CVE-2019-0222,9,org.fusesource.mqtt-client:mqtt-client:1.12,Medium,5.0,,no links,856.0,153.0,Silent,org.fusesource.mqtt-client:mqtt-client,,,False
CVE-2019-0228,13,org.apache.pdfbox:pdfbox:2.0.14,High,7.5,CWE-611,contains links,794.0,8002.0,Transparent,org.apache.pdfbox:pdfbox,,,False
CVE-2019-0231,88,org.apache.mina:mina-core:2.0.7,Medium,5.0,CWE-319,no links,626.0,2401.0,Silent,org.apache.mina:mina-core,Silent,S1,True
CVE-2019-0232,2,org.apache.tomcat:tomcat-catalina:9.0.12,Critical,9.3,CWE-78,contains links,2809.0,20712.0,Transparent,org.apache.tomcat:tomcat-catalina,,,False
CVE-2019-0233,4,org.apache.struts:struts2-core:2.5.20,Medium,5.0,CWE-281,contains links,901.0,5697.0,Transparent,org.apache.struts:struts2-core,,,False
CVE-2019-10071,10,org.apache.tapestry:tapestry-core:5.4.3,Medium,6.8,CWE-203,no links,71.0,5456.0,Silent,org.apache.tapestry:tapestry-core,,,False
CVE-2019-10072,3,org.apache.tomcat:tomcat-coyote:8.5.35,Medium,5.0,CWE-667,no links,2907.0,20829.0,Silent,org.apache.tomcat:tomcat-coyote,,,False
CVE-2019-10088,24,org.apache.tika:tika-core:1.18,Medium,6.8,CWE-770,no links,792.0,4501.0,Silent,org.apache.tika:tika-core,Silent,S1,True
CVE-2019-10093,15,org.apache.tika:tika-parsers:1.20,Medium,4.3,CWE-770,contains links,809.0,4526.0,Transparent,org.apache.tika:tika-parsers,Transparent,T1,True
CVE-2019-10094,24,org.apache.tika:tika-core:1.18,Medium,6.8,CWE-770,no links,810.0,4527.0,Silent,org.apache.tika:tika-core,Silent,S1,True
CVE-2019-10095,13,org.apache.zeppelin:zeppelin-zengine:0.9.0,Critical,10.0,CWE-77,contains links,4970.0,4833.0,Transparent,org.apache.zeppelin:zeppelin-zengine,,,False
CVE-2019-10158,4,org.infinispan:infinispan-spring5-common:10.0.0.Beta3,High,7.5,CWE-384,no links,679.0,11625.0,Silent,org.infinispan:infinispan-spring5-common,,,False
CVE-2019-10173,160,com.thoughtworks.xstream:xstream:1.4.10,High,7.5,CWE-94,contains links,264.0,2573.0,Transparent,com.thoughtworks.xstream:xstream,Transparent,T1,True
CVE-2019-10174,26,org.infinispan:infinispan-commons:10.0.0.Final,Medium,6.5,CWE-470,no links,708.0,12146.0,Silent,org.infinispan:infinispan-commons,,,False
CVE-2019-10184,19,io.undertow:undertow-servlet:2.0.19.Final,Medium,5.0,CWE-862,contains links,2293.0,4623.0,Transparent,io.undertow:undertow-servlet,Transparent,T5,True
CVE-2019-10219,70,org.hibernate.validator:hibernate-validator:6.0.17.Final,Medium,4.3,CWE-79,contains links,641.0,4022.0,Transparent,org.hibernate.validator:hibernate-validator,,,False
CVE-2019-10241,25,org.eclipse.jetty:jetty-util:9.2.14.v20151106,Medium,4.3,CWE-79,contains links,2222.0,18351.0,Transparent,org.eclipse.jetty:jetty-util,,,False
CVE-2019-10247,12,org.eclipse.jetty:jetty-server:9.3.14.v20161028,Medium,5.0,CWE-200,contains links,2235.0,18451.0,Transparent,org.eclipse.jetty:jetty-server,,,False
CVE-2019-10354,2,org.kohsuke.stapler:stapler:1.237,Medium,4.0,CWE-862,contains links,101.0,1364.0,Transparent,org.kohsuke.stapler:stapler,,,False
CVE-2019-10755,1,org.pac4j:pac4j-saml:3.3.0,Medium,4.0,CWE-338,no links,1569.0,2398.0,Silent,org.pac4j:pac4j-saml,,,False
CVE-2019-10770,11,io.ratpack:ratpack-core:1.5.4,Medium,4.3,CWE-79,no links,1723.0,5874.0,Silent,io.ratpack:ratpack-core,,,False
CVE-2019-10797,2,org.wso2.transport.http:org.wso2.transport.http.netty:6.0.272,Medium,4.3,,no links,8.0,3957.0,Silent,org.wso2.transport.http:org.wso2.transport.http.netty,,,False
CVE-2019-10899,20,org.jolokia:jolokia-core:1.6.0,Medium,5.0,CWE-125,no links,518.0,1887.0,Silent,org.jolokia:jolokia-core,,,False
CVE-2019-11272,63,org.springframework.security:spring-security-core:4.2.3.RELEASE,High,7.5,CWE-522,contains links,3259.0,7761.0,Transparent,org.springframework.security:spring-security-core,Transparent,T1,True
CVE-2019-11274,2,org.cloudfoundry.identity:cloudfoundry-identity-scim:2.7.4,Medium,4.3,CWE-79,no links,935.0,7692.0,Silent,org.cloudfoundry.identity:cloudfoundry-identity-scim,,,False
CVE-2019-11343,3,org.torpedoquery:org.torpedoquery:2.5.1,High,7.5,,no links,68.0,318.0,Silent,org.torpedoquery:org.torpedoquery,,,False
CVE-2019-11777,46,org.eclipse.paho:org.eclipse.paho.client.mqttv3:1.2.0,Medium,5.0,CWE-346;CWE-755,contains links,514.0,548.0,Transparent,org.eclipse.paho:org.eclipse.paho.client.mqttv3,Transparent,T1,True
CVE-2019-11808,4,io.ratpack:ratpack-session:1.5.0,Medium,4.3,CWE-338,no links,1660.0,5792.0,Silent,io.ratpack:ratpack-session,,,False
CVE-2019-12086,102,com.fasterxml.jackson.core:jackson-databind:2.8.11.3,Medium,5.0,CWE-502,contains links,1919.0,5233.0,Transparent,com.fasterxml.jackson.core:jackson-databind,Transparent,T1,True
CVE-2019-12399,3,org.apache.kafka:connect-runtime:2.3.0,Medium,5.0,CWE-319,contains links,12309.0,6486.0,Transparent,org.apache.kafka:connect-runtime,,,False
CVE-2019-12400,9,org.apache.santuario:xmlsec:2.1.2,Low,1.9,CWE-20,contains links,19.0,2820.0,Transparent,org.apache.santuario:xmlsec,,,False
CVE-2019-12402,303,org.apache.commons:commons-compress:1.18,Medium,5.0,CWE-835,no links,112.0,2761.0,Silent,org.apache.commons:commons-compress,Silent,S1,True
CVE-2019-12406,1,org.apache.cxf:cxf-core:3.3.1,Medium,4.3,CWE-770,contains links,543.0,15165.0,Transparent,org.apache.cxf:cxf-core,,,False
CVE-2019-12415,358,org.apache.poi:poi-ooxml:3.17,Low,2.1,CWE-611,contains links,596.0,9623.0,Transparent,org.apache.poi:poi-ooxml,,,False
CVE-2019-12418,9,org.apache.tomcat:tomcat-catalina:9.0.56,Medium,4.4,,no links,3648.0,21520.0,Silent,org.apache.tomcat:tomcat-catalina,,,False
CVE-2019-12423,1,org.apache.cxf:cxf-rt-rs-security-jose:3.3.3,Medium,4.3,CWE-522,contains links,561.0,15290.0,Transparent,org.apache.cxf:cxf-rt-rs-security-jose,,,False
CVE-2019-13234,64,org.opencms:opencms-core:8.5.0,Medium,4.3,CWE-79,no links,386.0,23488.0,Silent,org.opencms:opencms-core,,,False
CVE-2019-13235,64,org.opencms:opencms-core:8.5.0,Medium,4.3,CWE-79,no links,386.0,23488.0,Silent,org.opencms:opencms-core,,,False
CVE-2019-13236,64,org.opencms:opencms-core:8.5.0,Medium,4.3,CWE-79,no links,386.0,23488.0,Silent,org.opencms:opencms-core,,,False
CVE-2019-13237,28,org.opencms:opencms-core:10.5.1,Medium,4.0,CWE-22,no links,381.0,23368.0,Silent,org.opencms:opencms-core,,,False
CVE-2019-14832,1,org.keycloak:keycloak-model-jpa:6.0.0,Medium,6.0,CWE-863,no links,4259.0,13879.0,Silent,org.keycloak:keycloak-model-jpa,,,False
