CVE,upstream_GA,downstream_GA,downstream_repo,class,pattern,stage,after_disclosure,delay_fix,delay_release,delay_disclosure,delay_report
CVE-2021-37714,org.jsoup:jsoup,com.geccocrawler:gecco,xtuhcy/gecco,Transparent,T1,After disclosure,1,8.349884259259259,8.219293981481481,5.871550925925926,8.770324074074074
CVE-2021-37714,org.jsoup:jsoup,com.github.huanying04.utils:jixiv,Huanying04/jixiv,Transparent,T1,After disclosure,1,10.883506944444443,10.752916666666666,8.405173611111111,11.30394675925926
CVE-2021-37714,org.jsoup:jsoup,org.apache.any23:apache-any23-core,apache/any23,Transparent,T1,After disclosure,1,29.106273148148148,28.97568287037037,26.627939814814816,29.526712962962964
CVE-2021-37714,org.jsoup:jsoup,net.sf.mpxj:mpxj,joniles/mpxj,Transparent,T1,After disclosure,1,5.231805555555556,5.1012152777777775,2.7534722222222223,5.652245370370371
CVE-2021-37714,org.jsoup:jsoup,com.googlecode.ez-vcard:ez-vcard,mangstadt/ez-vcard,Transparent,T1,After disclosure,1,8.35042824074074,8.219837962962963,5.872094907407408,8.770868055555555
CVE-2021-37714,org.jsoup:jsoup,io.yupiik.maven:minisite-core,yupiik/tools-maven-plugin,Transparent,T1,After disclosure,1,8.375243055555556,8.244652777777778,5.896909722222222,8.79568287037037
CVE-2021-37714,org.jsoup:jsoup,org.javalite:activeweb,javalite/activejdbc,Transparent,T1,After disclosure,1,8.36068287037037,8.230092592592593,5.882349537037037,8.781122685185185
CVE-2021-37714,org.jsoup:jsoup,com.github.codemonstur:htmlcompiler,codemonstur/HTMLCompiler,Transparent,T1,After disclosure,1,10.25101851851852,10.120428240740742,7.7726851851851855,10.671458333333334
CVE-2019-3888,io.undertow:undertow-core,com.networknt:rpc-security,networknt/light-hybrid-4j,Transparent,T1,After disclosure,1,77.62202546296297,70.71899305555556,1.9664583333333336,1396.9947685185184
CVE-2019-3888,io.undertow:undertow-core,com.networknt:metrics,networknt/light-4j,Transparent,T1,After disclosure,1,77.62190972222223,70.71887731481482,1.9663425925925928,1396.9946527777777
CVE-2019-3888,io.undertow:undertow-core,com.networknt:jdbc-manager,networknt/light-session-4j,Transparent,T1,After disclosure,1,77.6222337962963,70.71920138888889,1.9666666666666663,1396.9949768518518
