CVE_ID,G:A:V,downstream_GA
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.scheduler
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.searchindex
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.workplace
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,com.automattic:elasticsearch-statsd
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,com.floragunn:dlic-search-guard-module-auditlog
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,com.floragunn:dlic-search-guard-module-kibana-multitenancy
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,com.floragunn:dlic-search-guard-rest-api
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,com.floragunn:dlic-search-guard-test-framework
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,com.floragunn:search-guard-5
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,com.floragunn:search-guard-ssl
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,com.github.cafaudit:caf-audit-binding-elasticsearch
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,com.github.cafaudit:caf-audit-binding-webservice
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,com.ubirch.util:elasticsearch-client-binary_2.11
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,de.julielab:elasticsearch-mapper-preanalyzed
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,info.johtani.elasticsearch.plugin.ingest:ingest-csv
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,org.carrot2:elasticsearch-carrot2
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,org.codelibs:elasticsearch-analysis-fess
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,org.codelibs:elasticsearch-analysis-ja
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,org.codelibs:elasticsearch-analysis-kuromoji-neologd
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,org.codelibs:elasticsearch-analysis-synonym
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,org.codelibs:elasticsearch-cluster-runner
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,org.codelibs:elasticsearch-configsync
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,org.codelibs:elasticsearch-dataformat
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,org.codelibs:elasticsearch-langfield
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,org.codelibs:elasticsearch-minhash
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,org.elasticsearch:elasticsearch-yarn
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,org.elasticsearch.test:framework
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,org.xbib.elasticsearch.plugin:elasticsearch-langdetect
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,org.xbib.elasticsearch.plugin:elasticsearch-plugin-bundle
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,pl.allegro.tech.elasticsearch.plugin:elasticsearch-analysis-morfologik
CVE-2013-4310,org.apache.struts:struts2-core:2.1.8.1,com.googlecode.rapid-framework:rapid-core
CVE-2013-4310,org.apache.struts:struts2-core:2.1.8.1,com.toolazydogs.shiro:shiro-struts2
CVE-2013-4310,org.apache.struts:struts2-core:2.1.8.1,com.tr8nhub:struts2-clientsdk
CVE-2013-4310,org.apache.struts:struts2-core:2.1.8.1,com.translationexchange:tml-struts2
CVE-2013-4310,org.apache.struts:struts2-core:2.1.8.1,com.yasudanetwork.struts2:flush-scope-plugin
CVE-2013-4310,org.apache.struts:struts2-core:2.1.8.1,org.nutz:nutz-integration-struts2
CVE-2018-1000615,org.onosproject:onos-ovsdb-rfc:1.6.0,org.onosproject:onos-ovsdb-api
CVE-2018-1000615,org.onosproject:onos-ovsdb-rfc:1.6.0,org.onosproject:onos-ovsdb-ctl
CVE-2018-1000615,org.onosproject:onos-ovsdb-rfc:1.6.0,org.opencord:vtn
CVE-2022-23596,com.github.junrar:junrar:0.7,com.dtstack.jlogstash:input.file
CVE-2022-23596,com.github.junrar:junrar:0.7,com.github.rapidark:rapid-ark-annotation
