repo,repo_url,mined_at_utc,mining_status,error_type,error_message,has_dependabot_pr,first_dependabot_pr_date,first_dependabot_pr_url,first_dependabot_pr_number,first_dependabot_pr_author,first_dependabot_pr_title,first_dependabot_pr_query_author,dependabot_pr_search_queries,has_dependabot_config,dependabot_config_path,dependabot_config_created_date,dependabot_config_created_sha,dependabot_config_created_url,dependabot_config_created_message
dracoon/dracoon-java-sdk,https://github.com/dracoon/dracoon-java-sdk,2026-08-14T17:34:53.346773+00:00,ok,,,True,2022-05-20T20:46:31Z,https://github.com/dracoon/dracoon-java-sdk/pull/8,8,dependabot,Bump gson from 2.8.2 to 2.8.9,app/dependabot,repo:dracoon/dracoon-java-sdk is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:dracoon/dracoon-java-sdk is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:dracoon/dracoon-java-sdk is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:dracoon/dracoon-java-sdk is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
drasyl-overlay/drasyl,https://github.com/drasyl-overlay/drasyl,2026-08-14T17:35:00.437777+00:00,ok,,,False,,,,,,,repo:drasyl-overlay/drasyl is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:drasyl-overlay/drasyl is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:drasyl-overlay/drasyl is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:drasyl-overlay/drasyl is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,True,.github/dependabot.yml,2020-09-15T22:42:44Z,351160433213eeb5479425dc82f5dd757d3f9701,https://github.com/drasyl/drasyl/commit/351160433213eeb5479425dc82f5dd757d3f9701,Update .github/dependabot.yml
dromara/hutool,https://github.com/dromara/hutool,2026-08-14T17:35:09.253129+00:00,ok,,,False,,,,,,,repo:dromara/hutool is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:dromara/hutool is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:dromara/hutool is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:dromara/hutool is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
druid-io/druid,https://github.com/druid-io/druid,2026-08-14T17:35:16.809328+00:00,ok,,,False,,,,,,,repo:druid-io/druid is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:druid-io/druid is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:druid-io/druid is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:druid-io/druid is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,True,.github/dependabot.yml,2021-06-07T20:56:32Z,dbec8da7ea5e7b9a6c982a527e17cf95ae6d61dd,https://github.com/apache/druid/commit/dbec8da7ea5e7b9a6c982a527e17cf95ae6d61dd,"enable dependabot for dependency updates (#11079)

* enable dependabot for dependency updates
* exclude dependabot config from license checks"
dts-ait/ariadne-json-route-format,https://github.com/dts-ait/ariadne-json-route-format,2026-08-14T17:35:25.886391+00:00,ok,,,False,,,,,,,repo:dts-ait/ariadne-json-route-format is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:dts-ait/ariadne-json-route-format is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:dts-ait/ariadne-json-route-format is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:dts-ait/ariadne-json-route-format is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
duracloud/duracloud,https://github.com/duracloud/duracloud,2026-08-14T17:35:33.754526+00:00,ok,,,True,2019-10-29T20:08:27Z,https://github.com/duracloud/duracloud/pull/105,105,dependabot,Bump checkstyle from 8.8 to 8.18,app/dependabot,repo:duracloud/duracloud is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:duracloud/duracloud is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:duracloud/duracloud is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:duracloud/duracloud is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
duracloud/duracloud-db,https://github.com/duracloud/duracloud-db,2026-08-14T17:35:39.044779+00:00,ok,,,True,2020-01-31T18:02:44Z,https://github.com/duracloud/duracloud-db/pull/14,14,dependabot,Bump checkstyle from 8.21 to 8.29,app/dependabot,repo:duracloud/duracloud-db is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:duracloud/duracloud-db is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:duracloud/duracloud-db is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:duracloud/duracloud-db is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
duracloud/snapshot,https://github.com/duracloud/snapshot,2026-08-14T17:35:45.781890+00:00,ok,,,True,2019-10-29T20:08:24Z,https://github.com/duracloud/snapshot/pull/18,18,dependabot,Bump checkstyle from 8.8 to 8.18,app/dependabot,repo:duracloud/snapshot is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:duracloud/snapshot is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:duracloud/snapshot is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:duracloud/snapshot is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
dustin-johnson/timezonemap,https://github.com/dustin-johnson/timezonemap,2026-08-14T17:35:51.828670+00:00,ok,,,True,2020-10-13T11:18:52Z,https://github.com/dustin-johnson/timezonemap/pull/5,5,dependabot,Bump junit from 4.13 to 4.13.1,app/dependabot,repo:dustin-johnson/timezonemap is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:dustin-johnson/timezonemap is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:dustin-johnson/timezonemap is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:dustin-johnson/timezonemap is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
dwslab/melt,https://github.com/dwslab/melt,2026-08-14T17:35:57.364115+00:00,ok,,,True,2020-06-29T12:41:36Z,https://github.com/dwslab/melt/pull/3,3,dependabot,Bump commons-beanutils from 1.9.3 to 1.9.4 in /matching-eval,app/dependabot,repo:dwslab/melt is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:dwslab/melt is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:dwslab/melt is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:dwslab/melt is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,True,.github/dependabot.yml,2021-04-29T15:44:01Z,d9a87cbef567460b812b4d4c6eb3fcf7d94b201a,https://github.com/dwslab/melt/commit/d9a87cbef567460b812b4d4c6eb3fcf7d94b201a,Upgrade to GitHub-native Dependabot
