repo,repo_url,mined_at_utc,mining_status,error_type,error_message
DataSketches/sketches-pig,https://github.com/DataSketches/sketches-pig,2026-08-14T16:55:45.352370+00:00,error,HTTPError,HTTP Error 401: Unauthorized
DataSystemsLab/GeoSpark,https://github.com/DataSystemsLab/GeoSpark,2026-08-14T16:55:45.554179+00:00,error,HTTPError,HTTP Error 401: Unauthorized
DigitalPebble/storm-crawler,https://github.com/DigitalPebble/storm-crawler,2026-08-14T16:55:45.712985+00:00,error,HTTPError,HTTP Error 401: Unauthorized
DisneyStudios/cucumber-slices-maven-plugin,https://github.com/DisneyStudios/cucumber-slices-maven-plugin,2026-08-14T16:55:45.875099+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Dreamroute/locker,https://github.com/Dreamroute/locker,2026-08-14T16:55:46.119955+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Erudika/para,https://github.com/Erudika/para,2026-08-14T16:55:46.282720+00:00,error,HTTPError,HTTP Error 401: Unauthorized
EvoSuite/evosuite,https://github.com/EvoSuite/evosuite,2026-08-14T16:55:46.440464+00:00,error,HTTPError,HTTP Error 401: Unauthorized
ExpediaGroup/circus-train,https://github.com/ExpediaGroup/circus-train,2026-08-14T16:55:46.656366+00:00,error,HTTPError,HTTP Error 401: Unauthorized
ExpediaGroup/waggle-dance,https://github.com/ExpediaGroup/waggle-dance,2026-08-14T16:55:46.813311+00:00,error,HTTPError,HTTP Error 401: Unauthorized
FelixGail/gplaymusic,https://github.com/FelixGail/gplaymusic,2026-08-14T16:55:47.001359+00:00,error,HTTPError,HTTP Error 401: Unauthorized
GSI-CS-CO/chart-fx,https://github.com/GSI-CS-CO/chart-fx,2026-08-14T16:55:47.251998+00:00,error,HTTPError,HTTP Error 401: Unauthorized
GateNLP/gate-core,https://github.com/GateNLP/gate-core,2026-08-14T16:55:47.410263+00:00,error,HTTPError,HTTP Error 401: Unauthorized
GeoDienstenCentrum/schemaspy-maven-plugin,https://github.com/GeoDienstenCentrum/schemaspy-maven-plugin,2026-08-14T16:55:47.650629+00:00,error,HTTPError,HTTP Error 401: Unauthorized
GojaFramework/goja,https://github.com/GojaFramework/goja,2026-08-14T16:55:47.828670+00:00,error,HTTPError,HTTP Error 401: Unauthorized
GoogleCloudPlatform/bigdata-interop,https://github.com/GoogleCloudPlatform/bigdata-interop,2026-08-14T16:55:47.998470+00:00,error,HTTPError,HTTP Error 401: Unauthorized
GraphWalker/graphwalker-project,https://github.com/GraphWalker/graphwalker-project,2026-08-14T16:55:48.221913+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server,2026-08-14T16:55:48.405433+00:00,error,HTTPError,HTTP Error 401: Unauthorized
HotelsDotCom/beeju,https://github.com/HotelsDotCom/beeju,2026-08-14T16:55:48.569220+00:00,error,HTTPError,HTTP Error 401: Unauthorized
HotelsDotCom/corc,https://github.com/HotelsDotCom/corc,2026-08-14T16:55:48.798429+00:00,error,HTTPError,HTTP Error 401: Unauthorized
HotelsDotCom/data-highway,https://github.com/HotelsDotCom/data-highway,2026-08-14T16:55:48.991961+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Huanying04/jixiv,https://github.com/Huanying04/jixiv,2026-08-14T16:55:49.224170+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Huluvu424242/plantuml-maven-plugin,https://github.com/Huluvu424242/plantuml-maven-plugin,2026-08-14T16:55:49.430921+00:00,error,HTTPError,HTTP Error 401: Unauthorized
ICIJ/extract,https://github.com/ICIJ/extract,2026-08-14T16:55:49.597308+00:00,error,HTTPError,HTTP Error 401: Unauthorized
INL/BlackLab,https://github.com/INL/BlackLab,2026-08-14T16:55:49.798638+00:00,error,HTTPError,HTTP Error 401: Unauthorized
INRIA/spoon,https://github.com/INRIA/spoon,2026-08-14T16:55:49.959520+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Impetus/fabric-jdbc-connector,https://github.com/Impetus/fabric-jdbc-connector,2026-08-14T16:55:50.125600+00:00,error,HTTPError,HTTP Error 401: Unauthorized
JULIELab/costosys,https://github.com/JULIELab/costosys,2026-08-14T16:55:50.380743+00:00,error,HTTPError,HTTP Error 401: Unauthorized
JULIELab/jcore-dependencies,https://github.com/JULIELab/jcore-dependencies,2026-08-14T16:55:50.544975+00:00,error,HTTPError,HTTP Error 401: Unauthorized
JanusGraph/janusgraph,https://github.com/JanusGraph/janusgraph,2026-08-14T16:55:50.704515+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Jasig/person-directory,https://github.com/Jasig/person-directory,2026-08-14T16:55:50.972694+00:00,error,HTTPError,HTTP Error 401: Unauthorized
KleeGroup/vertigo,https://github.com/KleeGroup/vertigo,2026-08-14T16:55:51.130969+00:00,error,HTTPError,HTTP Error 401: Unauthorized
LevelFourAB/dust,https://github.com/LevelFourAB/dust,2026-08-14T16:55:51.377773+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Litote/kmongo,https://github.com/Litote/kmongo,2026-08-14T16:55:51.549985+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Loki-Afro/metalarchives,https://github.com/Loki-Afro/metalarchives,2026-08-14T16:55:51.709668+00:00,error,HTTPError,HTTP Error 401: Unauthorized
LucidWorks/spark-solr,https://github.com/LucidWorks/spark-solr,2026-08-14T16:55:51.947231+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Mercateo/rest-schemagen-spring,https://github.com/Mercateo/rest-schemagen-spring,2026-08-14T16:55:52.110274+00:00,error,HTTPError,HTTP Error 401: Unauthorized
MingweiSamuel/Zyra,https://github.com/MingweiSamuel/Zyra,2026-08-14T16:55:52.369327+00:00,error,HTTPError,HTTP Error 401: Unauthorized
ModeShape/modeshape,https://github.com/ModeShape/modeshape,2026-08-14T16:55:52.530776+00:00,error,HTTPError,HTTP Error 401: Unauthorized
MyCoRe-Org/mycore,https://github.com/MyCoRe-Org/mycore,2026-08-14T16:55:52.695413+00:00,error,HTTPError,HTTP Error 401: Unauthorized
NASA-PDS-Incubator/registry,https://github.com/NASA-PDS-Incubator/registry,2026-08-14T16:55:52.946023+00:00,error,HTTPError,HTTP Error 401: Unauthorized
NitorCreations/nflow,https://github.com/NitorCreations/nflow,2026-08-14T16:55:53.108835+00:00,error,HTTPError,HTTP Error 401: Unauthorized
NitorCreations/willow,https://github.com/NitorCreations/willow,2026-08-14T16:55:53.289589+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Olog/phoebus-olog,https://github.com/Olog/phoebus-olog,2026-08-14T16:55:53.525030+00:00,error,HTTPError,HTTP Error 401: Unauthorized
