repo,repo_url,uses_dependabot_ever,dependabot_usage_type_ever,dependabot_lifecycle,security_first_version_later_ever,has_dependabot_pr,first_dependabot_pr_date,first_dependabot_pr_url,first_dependabot_pr_number,first_dependabot_pr_author,first_dependabot_pr_title,has_dependabot_config,dependabot_config_path,dependabot_config_created_date,dependabot_config_created_sha,dependabot_config_created_url,days_security_to_version,mined_at_utc
viadee/camunda-kafka-polling-client,https://github.com/viadee/camunda-kafka-polling-client,True,both_security_and_version_updates,security_then_version,True,True,2019-08-01T22:21:52Z,https://github.com/viadee/camunda-kafka-polling-client/pull/38,38.0,dependabot,Bump jackson.version from 2.9.9 to 2.10.0.pr1,True,.github/dependabot.yml,2021-08-06T13:20:06Z,f78734c2d0ca0784adbacdb3dc128b4d48caa0e8,https://github.com/viadee/camunda-kafka-polling-client/commit/f78734c2d0ca0784adbacdb3dc128b4d48caa0e8,735.6237731481482,2026-08-14T18:25:09.874463+00:00
vinscom/api-framework,https://github.com/vinscom/api-framework,True,security_updates_only,security_only_ever,False,True,2025-10-22T19:40:24Z,https://github.com/vinscom/api-framework/pull/74,74.0,dependabot,Bump io.vertx:vertx-web from 3.9.4 to 4.5.22,False,,,,,,2026-08-14T18:25:16.598502+00:00
virgo47/javasimon,https://github.com/virgo47/javasimon,True,security_updates_only,security_only_ever,False,True,2019-10-22T17:52:43Z,https://github.com/virgo47/javasimon/pull/33,33.0,dependabot,Bump jackson.version from 2.9.5 to 2.10.0 in /demoapp,False,,,,,,2026-08-14T18:25:23.763552+00:00
virtualansoftware/virtualan,https://github.com/virtualansoftware/virtualan,True,security_updates_only,security_only_ever,False,True,2020-07-08T02:07:07Z,https://github.com/virtualansoftware/virtualan/pull/6,6.0,dependabot,Bump jackson-databind from 2.9.10 to 2.9.10.5 in /test/virtualan-test-data,False,,,,,,2026-08-14T18:25:29.488153+00:00
vitessio/vitess,https://github.com/vitessio/vitess,True,both_security_and_version_updates,security_then_version,True,True,2019-10-29T13:36:15Z,https://github.com/vitessio/vitess/pull/5370,5370.0,dependabot,Bump flask from 0.12.3 to 1.0 in /test/cluster/keytar,True,.github/dependabot.yml,2026-01-15T15:56:29Z,6f0ae8fabeb5a562b3a3740a9a1abe5b1d4a0ac6,https://github.com/vitessio/vitess/commit/6f0ae8fabeb5a562b3a3740a9a1abe5b1d4a0ac6,2270.0973842592593,2026-08-14T18:25:36.409947+00:00
vladmihalcea/flexy-pool,https://github.com/vladmihalcea/flexy-pool,True,security_updates_only,security_only_ever,False,True,2020-10-13T06:46:00Z,https://github.com/vladmihalcea/flexy-pool/pull/63,63.0,dependabot,Bump junit from 4.12 to 4.13.1,False,,,,,,2026-08-14T18:25:43.486246+00:00
vt-middleware/cryptacular,https://github.com/vt-middleware/cryptacular,True,security_updates_only,security_only_ever,False,True,2019-11-02T19:20:15Z,https://github.com/vt-middleware/cryptacular/pull/51,51.0,dependabot,Bump checkstyle from 8.16 to 8.18,False,,,,,,2026-08-14T18:25:49.654778+00:00
w3c/epubcheck,https://github.com/w3c/epubcheck,True,security_updates_only,security_only_ever,False,True,2020-06-15T21:50:15Z,https://github.com/w3c/epubcheck/pull/1148,1148.0,dependabot,chore(deps): bump guava from 24.0-android to 24.1.1-android,False,,,,,,2026-08-14T18:25:55.827965+00:00
wcm-io/io.wcm.tooling.commons.crx-packmgr-helper,https://github.com/wcm-io/io.wcm.tooling.commons.crx-packmgr-helper,True,version_updates_config_only,version_config_only_ever,False,False,,,,,,True,.github/dependabot.yml,2022-12-07T09:26:06Z,faa5b9799519eff553523e674a89a774de7111bc,https://github.com/wcm-io/io.wcm.tooling.commons.crx-packmgr-helper/commit/faa5b9799519eff553523e674a89a774de7111bc,,2026-08-14T18:26:01.469336+00:00
web4thejob/home,https://github.com/web4thejob/home,False,not_using_dependabot,never_detected,False,False,,,,,,False,,,,,,2026-08-14T18:26:07.455895+00:00
webjars/webjars-locator-core,https://github.com/webjars/webjars-locator-core,True,both_security_and_version_updates,security_then_version,True,True,2020-10-12T21:58:12Z,https://github.com/webjars/webjars-locator-core/pull/38,38.0,dependabot,Bump junit from 4.11 to 4.13.1,True,.github/dependabot.yml,2022-02-18T20:47:03Z,a710a946a03d5e3a452f4a345ea8d645cfc6a57c,https://github.com/webjars/webjars-locator-core/commit/a710a946a03d5e3a452f4a345ea8d645cfc6a57c,493.9505902777778,2026-08-14T18:26:14.113651+00:00
weblyzard/weblyzard_api,https://github.com/weblyzard/weblyzard_api,True,security_updates_only,security_only_ever,False,True,2020-01-31T18:16:47Z,https://github.com/weblyzard/weblyzard_api/pull/201,201.0,dependabot,build(deps): bump checkstyle from 8.19 to 8.29 in /java-examples/keyword-extraction,False,,,,,,2026-08-14T18:26:20.369341+00:00
whirlwind-match/fuzzydb,https://github.com/whirlwind-match/fuzzydb,True,security_updates_only,security_only_ever,False,True,2020-06-15T23:19:51Z,https://github.com/whirlwind-match/fuzzydb/pull/96,96.0,dependabot,Bump spring-core from 3.0.5.RELEASE to 4.3.19.RELEASE in /core,False,,,,,,2026-08-14T18:26:26.329064+00:00
whitesource/fs-agent,https://github.com/whitesource/fs-agent,False,not_using_dependabot,never_detected,False,False,,,,,,False,,,,,,2026-08-14T18:26:32.489849+00:00
wicketstuff/core,https://github.com/wicketstuff/core,True,both_security_and_version_updates,security_then_version,True,True,2019-11-13T07:10:08Z,https://github.com/wicketstuff/core/pull/683,683.0,dependabot,Bump jackson-databind from 2.9.10 to 2.9.10.1,True,.github/dependabot.yml,2024-02-26T12:31:43Z,e2ca3cbd718c3f7e54d70a2bcb1ddc10e98306f9,https://github.com/wicketstuff/core/commit/e2ca3cbd718c3f7e54d70a2bcb1ddc10e98306f9,1566.2233217592593,2026-08-14T18:26:38.272055+00:00
wicketstuff/wiquery,https://github.com/wicketstuff/wiquery,True,both_security_and_version_updates,same_day_security_and_version,False,True,2024-02-29T07:01:46Z,https://github.com/wicketstuff/wiquery/pull/10,10.0,dependabot,Bump com.fasterxml.jackson.core:jackson-databind from 2.12.5 to 2.12.7.1,True,.github/dependabot.yml,2024-02-29T06:27:37Z,4738ae74e80b5d9eef1a5027d3342bbfb79aef5d,https://github.com/wicketstuff/wiquery/commit/4738ae74e80b5d9eef1a5027d3342bbfb79aef5d,,2026-08-14T18:26:46.836175+00:00
wildfly-clustering/wildfly-clustering-spring-session,https://github.com/wildfly-clustering/wildfly-clustering-spring-session,True,version_updates_config_only,version_config_only_ever,False,False,,,,,,True,.github/dependabot.yml,2022-11-10T15:22:38Z,f00b1b9c00df1a847522e8888d7d09deb30d094a,https://github.com/wildfly-clustering/wildfly-clustering-spring/commit/f00b1b9c00df1a847522e8888d7d09deb30d094a,,2026-08-14T18:26:53.441781+00:00
wildfly/jboss-ejb-client,https://github.com/wildfly/jboss-ejb-client,True,both_security_and_version_updates,security_then_version,True,True,2020-10-13T08:07:52Z,https://github.com/wildfly/jboss-ejb-client/pull/478,478.0,dependabot,Bump junit from 4.12 to 4.13.1,True,.github/dependabot.yml,2023-05-18T17:58:25Z,a74340efa1948d60c79037dc57ab49dfca4d1ec6,https://github.com/wildfly/jboss-ejb-client/commit/a74340efa1948d60c79037dc57ab49dfca4d1ec6,947.4101041666667,2026-08-14T18:27:03.805321+00:00
wildfly/wildfly,https://github.com/wildfly/wildfly,True,both_security_and_version_updates,version_then_security,False,True,2022-12-15T22:07:21Z,https://github.com/wildfly/wildfly/pull/16384,16384.0,dependabot,[WFLY-17431] Bump actions/upload-artifact from 2 to 3,True,.github/dependabot.yml,2022-12-13T22:17:09Z,0c0234da2c2eccf75337b05001e65b48845e1042,https://github.com/wildfly/wildfly/commit/0c0234da2c2eccf75337b05001e65b48845e1042,,2026-08-14T18:27:12.309589+00:00
wildfly/wildfly-core,https://github.com/wildfly/wildfly-core,True,both_security_and_version_updates,security_then_version,True,True,2020-03-04T22:02:27Z,https://github.com/wildfly/wildfly-core/pull/4090,4090.0,dependabot,[WFCORE-4864] Bump jackson-databind from 2.9.10.1 to 2.9.10.3,True,.github/dependabot.yml,2022-12-20T08:56:00Z,2879262c70eaa9dc3cd7a2d77f33de57a79d46c8,https://github.com/wildfly/wildfly-core/commit/2879262c70eaa9dc3cd7a2d77f33de57a79d46c8,1020.4538541666667,2026-08-14T18:27:19.455336+00:00
wisdom-framework/wisdom,https://github.com/wisdom-framework/wisdom,True,security_updates_only,security_only_ever,False,True,2019-10-11T13:19:16Z,https://github.com/wisdom-framework/wisdom/pull/574,574.0,dependabot,Bump httpclient from 4.3.1 to 4.3.6 in /core/wisdom-maven-plugin,False,,,,,,2026-08-14T18:27:26.698674+00:00
wix/wix-embedded-mysql,https://github.com/wix/wix-embedded-mysql,False,not_using_dependabot,never_detected,False,False,,,,,,False,,,,,,2026-08-14T18:27:33.145958+00:00
woq-blended/blended,https://github.com/woq-blended/blended,True,security_updates_only,security_only_ever,False,True,2019-07-13T10:17:12Z,https://github.com/woq-blended/blended/pull/120,120.0,dependabot,Bump lodash from 4.17.11 to 4.17.14,False,,,,,,2026-08-14T18:27:43.663119+00:00
wso2/transport-http,https://github.com/wso2/transport-http,False,not_using_dependabot,never_detected,False,False,,,,,,False,,,,,,2026-08-14T18:27:49.167778+00:00
